host_name,host_since,neighbourhood,property_type,room_type,price
K Family,2013-07-26,"Katsushika, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,
Min & Haru,2013-08-13,"新宿区, Tokyo, Japan",Private room in rental unit,Private room,"$15,259.00"
Sei,2014-07-30,"Kita, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$16,074.00"
Mikako,2014-08-02,"Setagaya, Tokyo Prefecture, Japan",Private room in home,Private room,"$14,187.00"
Min & Haru,2013-08-13,"新宿区, Tokyo, Japan",Private room in rental unit,Private room,"$15,259.00"
Min & Haru,2013-08-13,"新宿区, Tokyo, Japan",Private room in rental unit,Private room,"$14,821.00"
岩間,2014-08-07,"Suginami-ku, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$8,554.00"
Tracey,2013-01-08,"Shinjuku, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$51,300.00"
Manami,2014-07-29,"Suginami-ku, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$12,000.00"
Manami,2014-07-29,,Entire rental unit,Entire home/apt,"$12,000.00"
Min & Haru,2013-08-13,"新宿区, Tokyo, Japan",Private room in rental unit,Private room,"$12,800.00"
Min & Haru,2013-08-13,"新宿区, Tokyo, Japan",Shared room in rental unit,Shared room,"$7,980.00"
Min & Haru,2013-08-13,"新宿区, Tokyo, Japan",Shared room in rental unit,Shared room,"$7,741.00"
Mari,2013-08-30,"Setagaya, Tokyo Prefecture, Japan",Private room in home,Private room,"$4,275.00"
K Family,2013-07-26,"Katsushika, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$53,440.00"
DeepTokyo,2013-10-03,"Ōta-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,"$150,000.00"
Li Hsuan,2013-11-11,"Shinagawaku, Tokyo Prefecture, Japan",Private room in home,Private room,"$10,409.00"
近藤,2014-07-24,"Suginami-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$18,000.00"
Azabu,2013-12-03,"Shibuya, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$56,160.00"
Hotaka,2014-08-20,"Higashimurayama-shi, Tōkyō-to, Japan",Entire home,Entire home/apt,"$7,000.00"
Best Stay In Tokyo!,2013-01-25,"Shibuya, Tokyo Prefecture, Japan",Tiny home,Entire home/apt,"$21,282.00"
Daisuke,2014-09-03,,Private room in home,Private room,"$8,963.00"
Bryan,2013-05-21,,Entire condo,Entire home/apt,"$40,000.00"
Yoshi,2014-09-06,"Taito city, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$52,857.00"
タツロウ (Taturo),2014-07-06,"Nakano-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$10,641.00"
Ryusuke,2013-11-27,"世田谷区, Tokyo, Japan",Entire condo,Entire home/apt,"$28,233.00"
Azabu,2013-12-03,"Minato, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$118,571.00"
DeepTokyo,2013-10-03,"Ota, Tokyo Prefecture, Japan",Private room in home,Private room,"$13,200.00"
DeepTokyo,2013-10-03,"Ota, Tokyo Prefecture, Japan",Private room in home,Private room,"$20,166.00"
DeepTokyo,2013-10-03,"Ota, Tokyo Prefecture, Japan",Private room in home,Private room,"$20,003.00"
Decoboco,2014-09-25,"Koto-ku, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$9,200.00"
Sei,2014-07-30,"Kita, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$10,307.00"
Como,2014-01-02,"国分寺市, Tokyo, Japan",Private room in home,Private room,"$4,833.00"
近藤,2014-07-24,"Suginami-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$17,550.00"
近藤,2014-07-24,"Suginami-ku, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$23,500.00"
Sachiko,2014-10-17,"Higashimurayama, Tokyo Prefecture, Japan",Private room in home,Private room,"$5,274.00"
Parissa,2012-06-11,"Tokyo, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$30,191.00"
Kako & Keiko,2014-01-19,,Private room in home,Private room,"$37,050.00"
Min & Haru,2013-08-13,"新宿区, Tokyo, Japan",Shared room in rental unit,Shared room,"$7,980.00"
Min & Haru,2013-08-13,"新宿区, Tokyo, Japan",Shared room in rental unit,Shared room,"$7,980.00"
Min & Haru,2013-08-13,"新宿区, Tokyo, Japan",Shared room in rental unit,Shared room,"$7,980.00"
Min & Haru,2013-08-13,"新宿区, Tokyo, Japan",Shared room in rental unit,Shared room,"$7,980.00"
Tomoyuki&Maki,2014-03-23,"Akishima-shi, Tokyo-to, Japan",Entire guest suite,Entire home/apt,
Toshiyuki,2013-01-25,"Bunkyō-ku, Tōkyō-to, Japan",Private room in home,Private room,
Vann Amor,2013-10-11,"足立区, Tokyo, Japan",Entire rental unit,Entire home/apt,"$12,914.00"
Kota,2013-06-17,"Taito, Tokyo Prefecture, Japan",Hut,Entire home/apt,"$23,057.00"
Naga,2014-11-06,"Hino-shi, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$9,409.00"
Matsuda,2014-11-17,,Private room in rental unit,Private room,"$25,200.00"
タツロウ (Taturo),2014-07-06,"Nakano-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$10,641.00"
Matsuda,2014-11-17,,Entire rental unit,Entire home/apt,"$31,500.00"
Sachiko,2014-10-17,"Higashimurayama-shi, Tokyo,, Japan",Private room in home,Private room,"$4,253.00"
Sachiko,2014-10-17,"Higashimurayama-shi, Tokyo,, Japan",Private room in home,Private room,"$3,960.00"
Naga,2014-11-06,"Hino-city, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$8,143.00"
Kevin,2013-11-03,"Toshima-ku, Tokyo,, Japan",Entire home,Entire home/apt,"$33,442.00"
Vann Amor,2013-10-11,"足立区, Tokyo, Japan",Entire rental unit,Entire home/apt,"$12,914.00"
Vann Amor,2013-10-11,"足立区, Tokyo, Japan",Entire rental unit,Entire home/apt,"$6,266.00"
Azabu,2013-12-03,"Shibuya, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$55,840.00"
Kaori,2014-06-01,"Itabashi-ku Narimasu, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$8,051.00"
Kaori,2014-06-01,"板橋区成増, Tokyo, Japan",Entire rental unit,Entire home/apt,"$8,134.00"
Hirano San,2014-06-18,"台東区, Tokyo, Japan",Entire rental unit,Entire home/apt,"$13,071.00"
Miri,2014-06-19,"Meguro-ku, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$7,020.00"
Keiko,2014-11-11,"Taito-ku, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$20,900.00"
Mao,2014-12-14,"Shibuya City, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$14,400.00"
Rinrin,2014-11-23,"文京区, Tokyo, Japan",Entire home,Entire home/apt,"$8,786.00"
Yuki,2014-10-04,"Hachioji, Tokyo Prefecture, Japan",Entire villa,Entire home/apt,"$14,057.00"
Sei,2014-07-30,"Kita, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$11,100.00"
Mitsuko,2014-12-29,"Shibuya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$11,800.00"
Keiko,2014-11-11,"Taitou-ku, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$32,571.00"
DeepTokyo,2013-10-03,"Ota-ku, Tokyo Prefecture, Japan",Private room in home,Private room,"$14,835.00"
Shu,2014-06-24,"Shinjuku, Tokyo Prefecture, Japan",Entire home,Entire home/apt,
Masakatsu,2014-03-11,"Edogawa, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$7,777.00"
Mitsuko,2014-12-29,"Shibuya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$11,000.00"
Mitsuko,2014-12-29,"Shibuya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$10,000.00"
Seungkwan,2015-01-09,"Shinjuku-ku, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$23,802.00"
タツロウ (Taturo),2014-07-06,"Nakano-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$10,641.00"
Decoboco,2014-09-25,"Koto-ku, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$10,282.00"
Min & Haru,2013-08-13,"新宿区, Tokyo, Japan",Shared room in rental unit,Shared room,"$7,741.00"
タツロウ (Taturo),2014-07-06,"Nakano-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$11,350.00"
Seungkwan,2015-01-09,"Shinjuku-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$27,720.00"
Michi,2014-09-18,"Shinjuku-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$25,000.00"
Kanako,2014-05-08,"Setagaya-ku, Tōkyō-to, Japan",Private room in home,Private room,"$17,100.00"
Chieko,2015-03-21,"Ōta-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,"$6,143.00"
武男,2014-07-17,"Bunkyo City, Tōkyō-to, Japan",Private room in home,Private room,"$7,020.00"
Tomoya,2015-01-10,"Bunkyō-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,"$45,000.00"
タツロウ (Taturo),2014-07-06,"Nakano-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$11,201.00"
タツロウ (Taturo),2014-07-06,"Nakano-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$10,641.00"
タツロウ (Taturo),2014-07-06,"Nakano-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$10,641.00"
Koichi,2015-02-20,"Shinjuku-ku, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,
Steve,2015-02-20,"Suginami-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$8,736.00"
Kimmy And Dee,2015-02-25,"Suginami-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$14,400.00"
Kimmy And Dee,2015-02-25,"Tokyo-to Suginami-ku, Japan",Entire rental unit,Entire home/apt,"$10,286.00"
Hotaka,2014-08-20,"Higashimurayama-shi, Tōkyō-to, Japan",Private room in home,Private room,"$7,589.00"
Suda,2014-10-02,"Machida, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$5,225.00"
Sayoko,2013-04-03,"Shinagawa-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$11,160.00"
Jason,2013-07-01,"Toshima-ku, Tōkyō-to, Japan",Private room in home,Private room,"$5,377.00"
Airin,2014-12-13,"中野区, Tokyo, Japan",Private room in condo,Private room,"$19,429.00"
Insta-Homes,2015-03-05,"Nerima, Tokyo Prefecture, Japan",Private room in home,Private room,"$8,550.00"
Seungkwan,2015-01-09,"Shinjuku-ku, Tōkyō, Japan",Private room in home,Private room,"$48,113.00"
タツロウ (Taturo),2014-07-06,"Nakano-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$11,350.00"
Chie,2015-04-07,"Kita-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,"$10,450.00"
雅泰,2015-04-08,,Entire rental unit,Entire home/apt,"$14,040.00"
文娟,2015-03-20,"Nerima-ku, Tōkyō-to, Japan",Private room in villa,Private room,"$10,800.00"
Masami,2015-09-09,"Shibuya-ku,, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$9,310.00"
Shio,2015-09-08,"Sumida-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$19,200.00"
Rumika,2015-09-10,,Entire rental unit,Entire home/apt,"$32,857.00"
Hirotake,2015-09-03,"Minato-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$34,538.00"
Toshiro & Tanya,2015-05-30,"Setagaya, Tokyo Prefecture, Japan",Private room in home,Private room,"$11,517.00"
Kyoko,2014-04-16,"Setagaya-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,"$65,000.00"
Yukio,2015-09-16,"Machida－shi, Tokyo Prefecture, Japan",Entire townhouse,Entire home/apt,"$9,000.00"
Guesthouse,2015-04-08,"Kanamachi,, Tokyo Prefecture, Japan",Private room in home,Private room,
Hotaka,2014-08-20,"Higashimurayama-shi, Tōkyō-to, Japan",Hut,Entire home/apt,"$18,000.00"
Ayako,2015-05-07,"目黒区, Tokyo, Japan",Entire home,Entire home/apt,"$32,857.00"
Hiroyoshi,2015-05-12,"Sumida-ku, Tōkyō-to, Japan",Entire loft,Entire home/apt,"$9,757.00"
Ryo & Yuri,2015-03-30,"Toshima City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$16,000.00"
Nayu,2015-05-11,"Suginami-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,"$37,679.00"
Daisuke,2013-12-19,"Setagaya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$20,900.00"
Satoru & Kazue,2015-08-24,"Shibuya-ku , Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,
Momo,2015-03-13,"Toshima-ku, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$18,569.00"
Zack,2015-02-11,"Shinagawa-ku, Tokyo, Japan",Private room in home,Private room,
Ohkubo,2015-09-12,"Shinjuku-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,
Masami,2015-09-09,"Shibuya, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$28,310.00"
Yoko&Yasuhiro,2015-01-26,"Nakano-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,"$46,800.00"
Shukichi,2015-10-01,"Fussa-shi, Tōkyō-to, Japan",Private room in rental unit,Private room,"$3,500.00"
Josie,2015-09-30,"Sumida-ku, Tōkyō-to, Japan",Private room in home,Private room,"$3,300.00"
Miharu,2012-03-26,"Machida-shi, Tōkyō-to, Japan",Private room in home,Private room,"$5,496.00"
Masaru,2015-05-28,"Machida-shi, Tōkyō-to, Japan",Private room in home,Private room,"$3,486.00"
Toshiro & Tanya,2015-05-30,"Setagaya, Tokyo Prefecture, Japan",Private room in home,Private room,"$9,617.00"
Sayoko,2013-04-03,"Shinagawa-ku, Tōkyō-to, Japan",Private room in serviced apartment,Private room,"$9,269.00"
Takamitsu,2014-01-04,"台東区, Tokyo, Japan",Entire home,Entire home/apt,"$21,506.00"
Yoshio,2015-06-08,,Private room in home,Private room,"$4,950.00"
Hiroyoshi,2015-05-12,"Sumida-ku, Tōkyō-to, Japan",Entire loft,Entire home/apt,"$12,143.00"
武志,2015-09-02,"台東区, Tokyo, Japan",Entire home,Entire home/apt,"$18,324.00"
Yuka,2015-06-22,"Shibuya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$32,971.00"
Yuka,2015-06-22,"Shibuya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$17,626.00"
Yukihiko,2015-05-16,,Private room in home,Private room,
Konoha House,2015-06-29,"Sumida-ku, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$37,944.00"
Kanako,2015-06-11,"Kodaira-shi, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$5,100.00"
タツロウ (Taturo),2014-07-06,"Nakano-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$10,641.00"
Kan,2015-06-12,"港区, Tokyo, Japan",Entire home,Entire home/apt,"$37,747.00"
Mami,2015-01-19,"Shinagawa-ku, Tōkyō-to, Japan",Private room in home,Private room,"$13,086.00"
Hiroyoshi,2015-05-12,"Sumida-ku, Tōkyō-to, Japan",Entire loft,Entire home/apt,"$9,471.00"
Hiroyoshi,2015-05-12,"Sumida-ku, Tōkyō-to, Japan",Entire loft,Entire home/apt,"$9,471.00"
Hiroyoshi,2015-05-12,"Sumida-ku, Tōkyō-to, Japan",Entire loft,Entire home/apt,"$12,143.00"
Decoboco,2014-09-25,"Kōtō-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,"$11,640.00"
Ohkubo,2015-09-12,"Shinjuku-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$11,000.00"
Namio,2015-10-16,,Entire rental unit,Entire home/apt,"$18,000.00"
Satoshi & Hitomi,2015-03-18,"Tama-shi, Tōkyō-to, Japan",Private room in home,Private room,
Kyoko,2014-10-06,"Itabashi-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$16,629.00"
近藤,2014-07-24,"Suginami-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$17,100.00"
Sumifuku,2019-06-17,"Shinjuku-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$35,305.00"
Yoshio,2015-06-08,"Taito-ku, Tokyo Prefecture, Japan",Private room in home,Private room,"$5,953.00"
Tomomasa,2015-05-19,"杉並区, Tokyo, Japan",Entire loft,Entire home/apt,"$9,800.00"
Kanako,2015-06-14,"Shinagawa-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,"$20,600.00"
Mizuki,2014-08-23,"Shinjuku-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,"$33,571.00"
Yuka,2015-06-22,"Shibuya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$14,914.00"
Masa,2015-10-20,"大田区, Tokyo, Japan",Entire home,Entire home/apt,"$7,220.00"
Shin,2015-09-19,"Shinjuku-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$31,405.00"
Rumika,2015-09-10,"Shibuya-ku, Tokyo-to, Japan",Entire rental unit,Entire home/apt,"$45,000.00"
Kyoko,2014-10-06,"Itabashi-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$19,400.00"
Konoha House,2015-06-29,,Entire home,Entire home/apt,
Grapehouse Koenji,2015-10-19,"Nakano-ku , Tokyo Prefecture, Japan",Shared room in home,Shared room,"$4,800.00"
文娟,2015-03-20,,Private room in villa,Private room,"$10,800.00"
文娟,2015-03-20,,Private room in villa,Private room,"$10,800.00"
Yumi,2015-05-23,"Shinjuku-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$34,072.00"
Mariko,2015-06-29,"Edogawa-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$5,300.00"
Kae,2015-07-02,"Minato-ku, Tōkyō-to, Japan",Entire condo,Entire home/apt,"$35,000.00"
Tomomasa,2015-05-19,,Entire loft,Entire home/apt,"$9,800.00"
Momo,2015-03-13,,Entire rental unit,Entire home/apt,"$36,029.00"
Shin,2013-03-29,"Setagaya-ku, Tōkyō-to, Japan",Private room in home,Private room,"$45,000.00"
Yuka,2015-06-22,"Shibuya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$12,321.00"
Veronica,2014-01-03,"Suginami-ku, Tō, Japan",Entire guest suite,Entire home/apt,"$30,430.00"
ゆき,2015-11-04,"Shibuyaku, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$9,100.00"
近藤,2014-07-24,"Suginami-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$18,000.00"
Grapehouse Koenji,2015-10-19,"中野区, Tokyo, Japan",Private room in home,Private room,"$9,857.00"
Hiroyuki,2015-11-14,"Taitō-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,"$17,429.00"
Shino,2015-11-16,"Sumida-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$16,380.00"
Maki Nicestaytokyo,2015-11-11,"Toshima-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$25,090.00"
鹰,2015-07-05,"Katsushika-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,"$24,564.00"
Akari,2015-07-07,"Minato-ku, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$39,860.00"
怜子,2015-07-11,"Machida-shi, Tōkyō-to, Japan",Entire guest suite,Entire home/apt,"$10,000.00"
Rickie,2014-03-13,"Hino, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$4,851.00"
Mariko,2015-06-29,"Edogawa-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$6,300.00"
Yoshi,2015-07-15,"Hino-shi, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$8,843.00"
Harumi,2015-07-05,"Taito, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$32,714.00"
Masato,2015-02-21,,Entire home,Entire home/apt,"$31,889.00"
Hotel Asakusabashi,2015-09-28,"Taitō-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,"$39,038.00"
Dong,2015-11-20,"Shinjuku-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$23,786.00"
天野,2015-11-21,,Private room in rental unit,Private room,"$2,646.00"
Dong,2015-11-20,"新宿区, 东京, Japan",Entire rental unit,Entire home/apt,"$24,429.00"
Megumi,2015-11-24,"Shinagawa City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$15,243.00"
Jimmy'S Family,2015-06-26,"Fuchu, Tokyo Prefecture, Japan",Entire home,Entire home/apt,"$12,870.00"
Lina,2015-07-20,"Suginami, Tokyo Prefecture, Japan",Private room in home,Private room,"$6,148.00"
Yamagata,2015-07-22,"世田谷区, Tokyo, Japan",Private room in rental unit,Private room,"$18,000.00"
Yuna Soon,2015-07-29,"Adachi-ku (足立区), Tokyo (東京都), Japan",Private room in home,Private room,"$27,000.00"
Sumifuku,2019-06-17,"Shinjuku-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$33,068.00"
Katutoshi,2015-08-05,"Shinjuku City, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$23,175.00"
Yoshihito,2015-08-15,"Chūō-ku, Tōkyō-to, Japan",Shared room in rental unit,Shared room,
Shin,2015-04-18,,Entire home,Entire home/apt,
Dong,2015-11-20,"新宿区, Tokyo, Japan",Entire condo,Entire home/apt,"$28,106.00"
Masami,2015-09-09,"Shibuya-ku, Tokyo Prefecture, Japan",Entire rental unit,Entire home/apt,"$26,600.00"
Kyoko,2014-10-06,"Itabashi-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$19,400.00"
Hisao,2014-07-06,"Arakawa-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$2,900.00"
Yoshihito,2015-08-15,"Chūō-ku, Tōkyō-to, Japan",Private room in rental unit,Private room,
Yoshihito,2015-08-15,"Chūō-ku, Tōkyō-to, Japan",Shared room in rental unit,Shared room,
"Top Edge Co., Ltd.",2015-07-16,"Suginami-ku, Tokyo Prefecture, Japan",Private room in home,Private room,"$5,157.00"
Hisao,2014-07-06,,Entire rental unit,Entire home/apt,"$2,900.00"
Hisao,2014-07-06,,Entire rental unit,Entire home/apt,"$2,900.00"
Jiang,2013-10-20,"板橋区, Tokyo, Japan",Private room in home,Private room,"$9,773.00"
Satomi,2015-10-02,"Chōfu-shi, Tōkyō-to, Japan",Private room in home,Private room,"$5,862.00"
Hotel Asakusabashi,2015-09-28,"Taito-ku, Tokyo-to, Japan",Entire home,Entire home/apt,"$39,038.00"
Hotel Asakusabashi,2015-09-28,"Taitō-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,
Hotel Asakusabashi,2015-09-28,"Taitō-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,
Mie,2015-08-29,,Entire rental unit,Entire home/apt,"$14,250.00"
Nobu,2015-11-29,"Toshima-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$29,688.00"
Jiang,2013-10-20,"板橋区, Tokyo, Japan",Private room in home,Private room,"$7,210.00"
"Top Edge Co., Ltd.",2015-07-16,"Suginami-ku, Tokyo Prefecture, Japan",Private room in home,Private room,"$5,157.00"
Yuki,2015-08-18,"Shibuya-ku, Tokyo Prefecture, Japan",Entire townhouse,Entire home/apt,"$36,100.00"
Alexander,2014-12-18,"Setagaya-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,
文娟,2015-03-20,"Nerima-ku, Tōkyō-to, Japan",Private room in villa,Private room,"$10,000.00"
Junko,2015-06-13,"Minato-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,
Kazumi,2014-07-15,"Shinjuku-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$25,557.00"
Ohkubo,2015-09-12,"Shinjuku-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,
千万樹,2015-09-22,"Tokyo, Japan",Entire loft,Entire home/apt,"$22,857.00"
Sumifuku,2019-06-17,"Shinjuku-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$39,405.00"
Jojo,2015-11-29,"豊島区, 東京, Japan",Entire home,Entire home/apt,"$17,537.00"
Ichimaru,2015-06-27,"Shinjuku-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$55,748.00"
Kyoko,2014-10-06,"Itabashi-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$18,321.00"
Kota,2014-03-30,"Shinjuku-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,
Sumifuku,2019-06-17,"Shinjuku-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$31,775.00"
Josh F,2014-08-05,"Shinagawa-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$9,618.00"
Kei,2014-02-18,"葛飾区, Tokyo, Japan",Entire home,Entire home/apt,"$17,800.00"
Momoe,2014-12-07,,Room in aparthotel,Entire home/apt,"$114,871.00"
Yuka,2015-06-22,"Shibuya-ku, Tōkyō-to, Japan",Entire rental unit,Entire home/apt,"$14,514.00"
Ming Yang,2015-09-05,"Shinjuku-ku, Tōkyō-to, Japan",Entire home,Entire home/apt,"$49,286.00"
Miho,2015-09-07,"Minato-ku, Tōkyō-to, Japan",Private room in home,Private room,"$8,143.00"
